t_idx,line,from_bus,to_bus,loading_percent,p_from_mw,p_to_mw,q_from_mvar,q_to_mvar
0,0,1,2,62.71905703463128,2.8075190799850938,-2.772715154486609,1.3344722178771538,-1.336765952503152
0,1,2,3,63.4243339498583,2.772715154486747,-2.7171409477923443,1.3367659525031361,-1.3353404892321703
0,2,3,4,35.776175381425816,1.6616201206039336,-1.6591563105693128,0.3838829299948676,-0.39080792724454083
0,3,4,5,26.89177001327981,1.2475063105695179,-1.2462287192358548,0.28262623979271906,-0.2903599171039326
0,4,5,6,11.87169770171276,0.5487287192356783,-0.5480500013976586,0.10803123038649647,-0.1332753065838137
0,5,7,8,28.47686493395518,1.3575897960917551,-1.3533143221076722,-0.06824514994117814,0.04578909321958541
0,6,8,9,31.193486000589125,1.3686672747113673,-1.367684719721936,0.5696332368339421,-0.5736812873597914
0,7,9,10,17.998359000243237,0.8239347197221477,-0.8231496919305428,0.2181029732011583,-0.23007161247228583
0,8,10,11,6.915300803453251,0.3198496919305336,-0.31980001187849,0.0688075888057301,-0.07433881764934262
0,9,3,8,20.0309112829866,0.5738208271885766,-0.5722029526039047,0.742575246059237,-0.7625008040059881
0,10,12,13,9.968255124384601,0.6093885702519056,-0.6065726347618214,0.2803822044768618,-0.2845353407238204
0,11,13,14,9.400843374779559,0.5725726347618268,-0.5710391456322824,0.2634640332181244,-0.2661084304341522
0,12,6,7,0.08585531265692531,1.3976508341515329e-09,-7.752880759455567e-14,-0.004078970743389512,2.27605626561343e-13
0,13,11,4,0.17517178885298926,1.1878613622893705e-08,-1.2076278485704894e-13,-0.008316853662673736,-9.225942303712594e-14
0,14,14,8,0.03726890425685207,4.0402846923930005e-09,8.967586049251945e-14,-0.002497583575783935,4.78956423521143e-14
1,0,1,2,62.795653716139476,2.8115682513412454,-2.7766787055529267,1.3348788350837753,-1.3370488763901847
1,1,2,3,63.50017669331477,2.7766787055529463,-2.720970084490594,1.3370488763901125,-1.3354259629219605
1,2,3,4,35.777924958163624,1.6616205538938085,-1.6591565025786374,0.3838884139072084,-0.3908120605638943
1,3,4,5,26.893086501440894,1.247506502578594,-1.2462287859666688,0.28263037311163836,-0.2903629479563906
1,4,5,6,11.872275714609115,0.5487287859666681,-0.548050001397556,0.10803426123927487,-0.13327570239860315
1,5,7,8,28.398364155317957,1.3537460490882651,-1.3494941430867076,-0.06833730347314554,0.04585098559232775
1,6,8,9,31.195247002017794,1.3686674800163305,-1.3676848139358633,0.5696371438006252,-0.5736844301880837
1,7,9,10,17.99937076415642,0.823934813935914,-0.8231496975497056,0.21810611602927216,-0.23007317192849983
1,8,10,11,6.915690678868577,0.31984969754939363,-0.31980001187687473,0.06880914826173654,-0.07433974472297772
1,9,3,8,20.08141213031024,0.5776495305966183,-0.5760233369296299,0.7426552358368667,-0.7625666033444699
1,10,12,13,9.968255124384022,0.609388570251889,-0.6065726347617908,0.2803822044768352,-0.2845353407237954
1,11,13,14,9.400843374778406,0.5725726347617655,-0.5710391456322214,0.2634640332180739,-0.26610843043410204
1,12,6,7,0.08585114694176987,1.3973951146608113e-09,1.0654178383397389e-13,-0.004078574928439657,-1.451666964209772e-14
1,13,11,4,0.17516202544445852,1.1877162441054079e-08,0.0,-0.008315926588914606,0.0
1,14,14,8,0.037268904257434586,4.04039420125765e-09,3.3549881079936874e-14,-0.002497583575822974,5.338253372575989e-14
2,0,1,2,62.62219754760382,2.8023933963981964,-2.7676975929046184,1.3339663483778057,-1.3364162808718074
