t_idx,pmax_kw,price,P_sum_kw,reward,departed_idx,departed_penalty
0,173.5413240931541,0.10000000000000006,18.56137752532959,-1.85613775253296,,0.0
1,155.56724878938596,0.10340741737109359,21.07458257675171,-32.17926815643573,0,0.19999999999999996
2,153.10684435670854,0.11339745962155931,11.556081295013428,-1.3104302620347419,,0.0
3,162.39628802881913,0.1292893218813679,14.743613004684448,-31.906191727456964,0,0.19999999999999996
4,159.29463697227337,0.15000000000015257,0.0,-0.0,,0.0
5,173.5413242201909,0.17411809549071208,0.0,-0.0,,0.0
6,173.5413242201909,0.20000000000572435,0.0,-0.0,,0.0
7,173.5413242201909,0.22588190454217988,0.0,-0.0,,0.0
8,173.5413242201909,0.2500000001672896,0.0,-0.0,,0.0
9,173.5413242201909,0.27071067894208334,0.0,-0.0,,0.0
10,173.5413242201909,0.28660254418593883,26.390056228637697,-44.80615455556751,0,0.2482846486615331
11,147.8875174745322,0.296592599167911,3.094387245178223,-44.268115966451994,1,0.28900229073715034
12,170.57469465835305,0.3000000674894626,0.0,-0.0,,0.0
13,173.54132409339323,0.29659284134245967,0.0,-0.0,,0.0
14,173.54132409339263,0.2866034720417369,0.0,-0.0,,0.0
15,173.54132409339175,0.2707138298949491,18.33578109741211,-16.57484459639116,0,0.07740730047596878
16,155.78785556147795,0.2500100163243482,0.0,-0.0,,0.0
17,173.54132439833458,0.22591180773114736,0.0,-0.0,,0.0
18,173.54132439833458,0.20008386565697564,0.0,-0.0,,0.0
19,173.54132439833458,0.1743390520664817,6.947989630699158,-1.2113059259838355,,0.0
20,166.86104510996935,0.15054687277954573,27.44507591724396,-46.95454432764207,0,0.2854851598340251
21,146.84928215782,0.13056083918909847,0.3209385871887207,-0.04190201127152302,,0.0
22,173.23433297780835,0.11617470875611674,19.947646856307983,-16.518698485036097,0;1,0.09467524280756434
23,154.2107257582319,0.10910596259199626,0.0,-0.0,,0.0
