t_idx,bus,name,vn_kv,vm_pu,va_degree,p_mw,q_mvar
0,0,Bus 0,110.0,1.03,0.0,-36.62776391953376,-17.550379941410768
0,1,Bus 1,20.0,0.968331948561612,-38.24982432461255,19.839,4.637136047137856
0,2,Bus 2,20.0,0.9045602479162237,-40.36826346648104,0.0,0.0
0,3,Bus 3,20.0,0.8070796076796426,-44.32985926546852,2.976420000000001,0.9848756264400489
0,4,Bus 4,20.0,0.8061157774772515,-44.38325263233962,0.07975000000000065,0.03278623949159165
0,5,Bus 5,20.0,0.805332684849052,-44.426902953252345,0.59328,0.20486222907588214
0,6,Bus 6,20.0,0.8052577429413327,-44.435283733288905,0.03338300000000061,0.010972461483185647
0,7,Bus 7,20.0,0.7689080525307713,-45.999561232229304,4.7524000000000015,2.0550644992203244
0,8,Bus 8,20.0,0.7898955004763466,-45.0629188733499,-0.005990000000000606,0.00789170536534467
0,9,Bus 9,20.0,0.7897116149365181,-45.072475049079564,0.06974999999999909,0.03278623949159165
0,10,Bus 10,20.0,0.7894003339957923,-45.08898205315879,0.034900000000000375,0.024618439477896104
0,11,Bus 11,20.0,0.7892987691025247,-45.0948526834254,0.13629999999999853,0.04808648458766829
0,12,Bus 12,20.0,1.0180860835533179,-31.725544084775102,0.004199999999997317,0.001380473241752611
0,13,Bus 13,20.0,0.9674554183498573,-32.5955515186165,0.30338000000000065,0.09971618382916425
0,14,Bus 14,20.0,0.9380760593841275,-33.14335090419473,5.839680000000001,1.9194099953309038
0,15,LV_CS_Trafo_15,0.4,0.7689042074042252,-46.00183507661535,0.0,0.0
0,16,LV_CS_Trafo_16,0.4,0.9380713682885585,-33.14562474858079,0.0,0.0
0,17,LV_HH_Trafo_17,0.4,0.9380167434821078,-33.14920618199236,0.0021843234845064785,0.0007179524099250045
1,0,Bus 0,110.0,1.03,0.0,-38.23896087857813,-19.514672055956435
1,1,Bus 1,20.0,0.9602495628171862,-38.77016549575517,19.839,4.637136047137856
1,2,Bus 2,20.0,0.883692702712591,-41.214845283321345,0.0,0.0
1,3,Bus 3,20.0,0.7672507206216977,-45.9893794676927,2.962979999999998,0.9804581120664455
1,4,Bus 4,20.0,0.7661938690567068,-46.05036421627124,0.10075000000000145,0.0396886057003476
1,5,Bus 5,20.0,0.7653599367707333,-46.09889386258408,0.5998950000000001,0.2070364744316402
1,6,Bus 6,20.0,0.765282835071208,-46.10760413182513,0.03173800000000071,0.010431776130166881
1,7,Bus 7,20.0,0.7187952330245199,-48.27930480782109,5.710000000000001,2.3698123983396027
1,8,Bus 8,20.0,0.7454243822743809,-46.9820967781646,-0.003260000000000929,0.00878901297248369
1,9,Bus 9,20.0,0.7452096559245027,-46.99377521843039,0.09074999999999989,0.03968860570034849
1,10,Bus 10,20.0,0.7448732643174232,-47.012365021627105,0.035319999999998686,0.02475648680207243
1,11,Bus 11,20.0,0.7447637522219299,-47.01899138694882,0.13776999999999973,0.0485696502222801
1,12,Bus 12,20.0,1.0181188546289488,-31.721071952175695,0.004199999999997317,0.001380473241752611
1,13,Bus 13,20.0,0.9676197801100686,-32.58872604741471,0.28581000000000145,0.09394120410117068
1,14,Bus 14,20.0,0.9382347024082096,-33.13653898053808,5.842340000000004,1.9202842950506813
1,15,LV_CS_Trafo_15,0.4,0.7187916385002817,-48.281578652207145,0.0,0.0
1,16,LV_CS_Trafo_16,0.4,0.9382300105193045,-33.13881282492414,0.0,0.0
1,17,LV_HH_Trafo_17,0.4,0.9381856808268288,-33.1410677990937,0.0016494188126117137,0.0005421377464891464
2,0,Bus 0,110.0,1.03,0.0,-36.88306766373033,-17.83673946814804
2,1,Bus 1,20.0,0.9671847561221011,-38.32635638908306,19.839,4.637136047137856
2,2,Bus 2,20.0,0.9015648870412724,-40.4936537702065,0.0,0.0
2,3,Bus 3,20.0,0.8013365575019594,-44.57159823875949,2.9470199999999984,0.9752123137477913
2,4,Bus 4,20.0,0.8003598636611141,-44.626010576132735,0.07975000000000065,0.03278623949159165
2,5,Bus 5,20.0,0.7995658357994069,-44.67052798028769,0.5991599999999977,0.20679489161433384
2,6,Bus 6,20.0,0.7994973135350905,-44.678593180022595,0.031248000000001497,0.010270720918629017
2,7,Bus 7,20.0,0.7614803361179986,-46.3378824153315,4.927399999999999,2.112584217626625
2,8,Bus 8,20.0,0.7833906040977074,-45.34559186961112,-0.006060000000001509,0.007868697477982245
2,9,Bus 9,20.0,0.7832000347813215,-45.35556287904932,0.06974999999999909,0.03278623949159165
2,10,Bus 10,20.0,0.782873953358269,-45.37297033166965,0.03994000000000142,0.026275007367999592
2,11,Bus 11,20.0,0.7827703040576598,-45.37899685155203,0.13776999999999973,0.0485696502222801
2,12,Bus 12,20.0,1.018059044768174,-31.728865266391193,0.004199999999997317,0.001380473241752611
2,13,Bus 13,20.0,0.9673280434205614,-32.60042013873582,0.2901500000000006,0.09536769311764637
2,14,Bus 14,20.0,0.9378237094240082,-33.15061413765121,5.863479999999996,1.9272326770341621
2,15,LV_CS_Trafo_15,0.4,0.7614765281356982,-46.34015625971757,0.0,0.0
2,16,LV_CS_Trafo_16,0.4,0.9378190195903818,-33.15288798203727,0.0,0.0
2,17,LV_HH_Trafo_17,0.4,0.9377753820271387,-33.15505631926714,0.0016130190539414002,0.0005301737243801341
3,0,Bus 0,110.0,1.03,0.0,-37.364459483133714,-18.43453589598686
3,1,Bus 1,20.0,0.964655109235059,-38.49356662689273,19.839,4.637136047137856
3,2,Bus 2,20.0,0.8949850133430238,-40.76781278746967,0.0,0.0
