t_idx,bus,name,vn_kv,vm_pu,va_degree,p_mw,q_mvar
0,0,Bus 0,110.0,1.03,0.0,-43.330233185213864,-15.769747981148669
0,1,Bus 1,20.0,0.993920732098648,-6.073801453169785,19.839,4.637136047137856
0,2,Bus 2,20.0,0.9770774742080671,-6.626326781886836,0.0,0.0
0,3,Bus 3,20.0,0.9503315093232744,-7.509657273712847,0.4817,0.20888231317781525
0,4,Bus 4,20.0,0.9485499011909858,-7.606080432514027,0.4116500000000016,0.10818168745217438
0,5,Bus 5,20.0,0.9473243560613761,-7.672961289479472,0.697499999999998,0.18232868671714808
0,6,Bus 6,20.0,0.9458554943651313,-7.754741017307913,0.5480499999999999,0.13735427732691807
0,7,Bus 7,20.0,0.9503111062694725,-7.251118838210757,-1.4235000000000007,0.04741044188783761
0,8,Bus 8,20.0,0.9475027694765203,-7.516530963401203,0.5568499999999972,0.14707847395183293
0,9,Bus 9,20.0,0.9465779812974608,-7.551958591636661,0.5437499999999993,0.3555783141587803
0,10,Bus 10,20.0,0.9454118911995518,-7.61079474167039,0.503300000000003,0.16126402366661452
0,11,Bus 11,20.0,0.9452273290480471,-7.621010787017762,0.3197999999999972,0.08265567131177409
0,12,Bus 12,20.0,1.000073501127938,-5.495886873927706,20.01,4.693341029123443
0,13,Bus 13,20.0,0.9950065398780483,-5.551114463817678,0.03399999999999892,0.021071307505705406
0,14,Bus 14,20.0,0.9920833732211283,-5.583323753087638,0.5400500000000008,0.2577128050395441
0,15,LV_CS_Trafo_15,0.4,0.9455072659218491,-7.88946586282116,0.06535579085350207,0.019999999999999574
0,16,LV_CS_Trafo_16,0.4,0.9920784120478104,-5.585597597473701,0.0,0.0
0,17,LV_HH_Trafo_17,0.4,0.9915128747835024,-5.650204886790263,0.030000000000001137,0.009999999999999787
1,0,Bus 0,110.0,1.03,0.0,-43.334294875159316,-15.771093492857705
1,1,Bus 1,20.0,0.9939162401224857,-6.074921469314391,19.839,4.637136047137856
1,2,Bus 2,20.0,0.9770566385777809,-6.628582372784966,0.0,0.0
1,3,Bus 3,20.0,0.9502858471515367,-7.513813423766003,0.4817,0.20888231317781525
